Date,Description,Debit,Credit,Balance,Month,Net Flow
2011-10-04,Oct,,,,2011-10,0.0
2012-10-12,Oct,,,,2012-10,0.0
2017-10-16,Oct,,,,2017-10,0.0
2020-10-20,Oct,,,,2020-10,0.0
2024-10-23,Oct,,,,2024-10,0.0
2025-10-24,Description of Transaction Electronic Deposit REF=172750102657000N00 Electronic Deposit REF=172760027363140N00 Electronic Deposit REF=172720058223180Y00 Electronic Deposit REF=172780042278970Y00 Electronic Deposit REF=172850024413210N00 Electronic Deposit REF=172790122999750Y00 Electronic Deposit REF=172890066691320N00 Electronic Deposit REF=172850047281610Y00 Electronic Deposit REF=172920112272070N00 Electronic Deposit REF=172900111651190Y00 Electronic Deposit REF=172960092179570N00 Electronic Deposit REF=172920071406510Y00 Electronic Deposit REF=172960187647050N00 Electronic Deposit REF=172930041655740Y00  Ref Number From,,,,2025-10,0.0
2010-10-02,Oct,,,,2010-10,0.0
2011-10-02,"Ref Number 8054899793 8058398645 8355786671 8059110408 8656387853  Amount 3,777.34 1,146.08 1,146.08 70.00 200.00  Check 4676 4677 4678 4679 4680  Date Oct",,,,2011-10,0.0
2017-10-11,Oct,,,,2017-10,0.0
2010-10-04,Oct,,,,2010-10,0.0
2019-10-20,Oct,,,,2019-10,0.0
2017-10-19,Oct,,,,2017-10,0.0
2026-10-17,"Ref Number 9254685896 9250487356 8655296985 8450678071 9254033749 8953131485 8954261559 8357163065 8357515837 8954464706  Amount 425.71 1,804.60 3,000.00 379.26 287.66 995.00 34.55 726.37 110.00 100.00  Date Oct 2 Oct 3 Oct 4 Oct",,,,2026-10,0.0
2010-10-06,Oct 11  Date Oct,,,,2010-10,0.0
2016-10-16,Oct,,,,2016-10,0.0
2016-10-17,Oct,,,,2016-10,0.0
2017-10-13,Oct,,,,2017-10,0.0
2027-10-26,"Oct 31  Ref Number 8055343884 8055343900 8356666578 8057502145 9255096967 8357222186 8953683904 9254620542 8357136962  Amount 3,341.36 118.50 78.65 195.06 450.00 320.00 1,706.25 168.00 6,000.00  Conventional Checks Paid (29)  * Gap in check sequence  Balance Summary  Check 4695 4696 4697 4698 4699 4701* 4702 4705* 4706  Ending Balance 16,522.58 22,922.58 31,783.31 28,906.37 27,009.03 28,526.88  Date Oct",,,,2027-10,0.0
2013-10-12,Oct,,,,2013-10,0.0
2020-10-19,"Ending Balance 18,634.31 18,184.31 5,815.27 7,297.03 6,267.48 18,154.30  Date Oct",,,,2020-10,0.0
2026-10-25,Oct,,,,2026-10,0.0
